erc,title,description,topic,topic_secondary,topic_confidence,topic_other,status,type,category,created,last_call_deadline,withdrawal_reason,author,authors_normalized,requires,required_by,referenced_ercs,in_degree,out_degree,pagerank,dependency_depth,has_security_considerations,has_test_cases,has_reference_impl,spec_word_count,section_count,discussions_to,one_line_summary,notes
205,ENS support for contract ABIs,,infrastructure-meta,,high,,Stagnant,Standards Track,ERC,2017-02-06,,,Nick Johnson <nick@ethereum.org>,Nick Johnson <nick@ethereum.org>,137;181,,137;181,0,2,0.00094087,1,False,False,False,748,8,,ENS resolver profile for storing and retrieving contract ABIs onchain.,"Multiple encoding formats (JSON, zlib, CBOR, URI); enables interface discovery via ENS."
223,Token with transaction handling model,Token with transaction handling model designed to behave identical to native currency (ether),tokens-fungible,,high,,Final,Standards Track,ERC,2017-05-03,,,Dexaran (@Dexaran) <dexaran@ethereumclassic.org>,Dexaran (@Dexaran) <dexaran@ethereumclassic.org>,,7417,20,1,0,0.00120746,0,True,False,True,2421,21,https://ethereum-magicians.org/t/erc-223-token-standard/12894,Token standard with transaction handler callback for safe contract deposits.,Requires tokenReceived callback; eliminates stuck-token problem by making transfer atomic.
600,Ethereum purpose allocation for Deterministic Wallets,,infrastructure-meta,,high,,Final,Standards Track,ERC,2017-04-13,,,"Nick Johnson (@arachnid), Micah Zoltu (@micahzoltu)",Nick Johnson (@arachnid);Micah Zoltu (@micahzoltu),,,,0,0,0.00094087,0,False,True,False,364,12,https://ethereum-magicians.org/t/eip-erc-app-keys-application-specific-wallet-accounts/2742,BIP32/BIP43 purpose allocation scheme for deterministic Ethereum wallets.,Defines m/43'/60'/EIP' derivation hierarchy; tailored to account-based model.
601,Ethereum hierarchy for deterministic wallets,,infrastructure-meta,,high,,Final,Standards Track,ERC,2017-04-13,,,"Nick Johnson (@arachnid), Micah Zoltu (@micahzoltu)",Nick Johnson (@arachnid);Micah Zoltu (@micahzoltu),,,,0,0,0.00094087,0,False,True,False,519,13,https://ethereum-magicians.org/t/eip-erc-app-keys-application-specific-wallet-accounts/2742,BIP32 hierarchical path for deterministic Ethereum wallets with multi-account support.,Four-level path m/43'/60'/EIP'/wallet'; enables multiple identities per seed.
634,Storage of text records in ENS,Profiles for ENS resolvers to store arbitrary text key/value pairs.,infrastructure-meta,reputation-identity,high,,Stagnant,Standards Track,ERC,2017-05-17,,,Richard Moore (@ricmoo),Richard Moore (@ricmoo),137;165,2525;5131;6821,137;165,3,2,0.00167397,1,True,False,False,638,12,https://github.com/ethereum/EIPs/issues/2439,ENS resolver profile for arbitrary key-value text record storage.,"Extends ENS with metadata; supports global keys (avatar, email) and service-specific namespaces."
681,URL Format for Transaction Requests,,infrastructure-meta,,high,,Final,Standards Track,ERC,2017-08-01,,,Daniel A. Nagy (@nagydani),Daniel A. Nagy (@nagydani),20;137,831;1078;2400;5094,20;67;137,4,2,0.00291024,1,True,False,False,1219,10,https://ethereum-magicians.org/t/erc-681-representing-various-transactions-as-urls,URL format for payment requests and transactions using ethereum: scheme.,Supersedes ERC-67. Uses scientific notation for amounts similar to Bitcoin payment URLs.
721,Non-Fungible Token Standard,,nft,,high,,Final,Standards Track,ERC,2018-01-24,,,"William Entriken (@fulldecent), Dieter Shirley <dete@axiomzen.co>, Jacob Evans <jacob@dekz.net>, Nastassia Sachs <nastassia.sachs@protonmail.com>",William Entriken (@fulldecent);Dieter Shirley <dete@axiomzen.co>;Jacob Evans <jacob@dekz.net>;Nastassia Sachs <nastassia.sachs@protonmail.com>,165,998;1046;1523;1633;1948;2135;2309;2477;2615;3440;3475;3525;3589;4393;4400;4494;4519;4521;4675;4883;4885;4906;4907;4910;4944;4950;4955;4973;4987;5007;5008;5050;5058;5169;5173;5185;5192;5218;5252;5298;5334;5375;5380;5409;5484;5489;5496;5501;5507;5521;5553;5560;5570;5585;5604;5606;5625;5635;5643;5679;5700;5725;5727;5753;5773;5791;5851;6047;6059;6065;6066;6093;6105;6120;6147;6150;6220;6239;6454;6464;6551;6596;6604;6672;6682;6785;6806;6809;6823;6956;6982;6997;7007;7015;7066;7085;7160;7231;7280;7303;7401;7432;7439;7496;7498;7507;7510;7517;7527;7531;7548;7561;7565;7574;7578;7585;7590;7595;7628;7629;7631;7634;7644;7649;7651;7652;7656;7662;7695;7765;7795;7811;7829;7832;7847;7858;7861;7878;7891;7929;7962;8004;8040;8065;8126,165;20;223;677;827,145,1,0.06421145,1,False,True,False,4161,11,https://github.com/ethereum/eips/issues/721,Standard interface for non-fungible tokens with transfer and ownership tracking.,Core NFT standard. Optional metadata extension and enumeration extension. Inspired by ERC-20.
725,General data key/value store and execution,An interface for a smart contract based account with attachable data key/value store,infrastructure-meta,account-abstraction,medium,,Draft,Standards Track,ERC,2017-10-02,,,"Fabian Vogelsteller (@frozeman), Tyler Yasaka (@tyleryasaka)",Fabian Vogelsteller (@frozeman);Tyler Yasaka (@tyleryasaka),165;173,1078,165;173,1,2,0.00114081,1,True,False,True,1665,27,https://ethereum-magicians.org/t/discussion-for-eip725/12158,Generic data key/value store and execution interface for smart contract accounts.,Two sub-standards: ERC725X (execution) and ERC725Y (data storage). Building blocks for smart contract accounts and upgradable metadata.
777,Token Standard,,tokens-fungible,,high,,Final,Standards Track,ERC,2017-11-20,,,"Jacques Dafflon <mail@0xjac.com>, Jordi Baylina <jordi@baylina.cat>, Thomas Shababi <tom@truelevel.io>",Jacques Dafflon <mail@0xjac.com>;Jordi Baylina <jordi@baylina.cat>;Thomas Shababi <tom@truelevel.io>,1820,5169,1820;20;165;820;1820;223;672,1,1,0.00110082,2,False,True,False,7730,26,https://github.com/ethereum/EIPs/issues/777,"Token standard with send/receive hooks, operators, and ERC-20 backward compatibility.",Uses ERC-1820 registry for hooks. Operators allow delegated sending. Backward compatible with ERC-20.
801,Canary Standard,,other,,medium,canary contracts,Stagnant,Standards Track,ERC,2017-12-16,,,ligi <ligi@ligi.de>,ligi <ligi@ligi.de>,,,,0,0,0.00094087,0,False,False,False,285,12,,Standard interface for canary contracts to signal state (alive/dead).,Stagnant status. Used for warrant canaries and status signaling. Minimal specification.
820,Pseudo-introspection Registry Contract,,infrastructure-meta,,high,,Final,Standards Track,ERC,2018-01-05,,,"Jordi Baylina <jordi@baylina.cat>, Jacques Dafflon <jacques@dafflon.tech>",Jordi Baylina <jordi@baylina.cat>;Jacques Dafflon <jacques@dafflon.tech>,165;214,,165;214;672;1820,0,1,0.00094087,1,False,True,False,5874,22,https://github.com/ethereum/EIPs/issues/820,Pseudo-introspection registry for interface implementation discovery.,Superseded by ERC-1820. Allows any address to register interfaces. Compatible with ERC-165.
823,Token Exchange Standard,,defi,tokens-fungible,medium,,Stagnant,Standards Track,ERC,2018-01-06,,,Kashish Khullar <kkhullar7@gmail.com>,Kashish Khullar <kkhullar7@gmail.com>,20,,20,0,1,0.00094087,1,False,False,False,1326,40,,Token exchange standard enabling cross-token swaps and payments.,Extends ERC-20 with exchange services. Preserves exchanged tokens in contract rather than destroying them.
831,URI Format for Ethereum,A way of creating Ethereum URIs for various use-cases.,infrastructure-meta,,high,,Stagnant,Standards Track,ERC,2018-01-15,,,ligi (@ligi),ligi (@ligi),67;681,5094,67;681,1,2,0.00134075,2,True,False,False,316,7,https://ethereum-magicians.org/t/eip-831-uri-format-for-ethereum/10105,URI format container for Ethereum use-cases with optional prefixes.,Generalizes ERC-67 and ERC-681. Uses 'eth:' or 'ethereum:' scheme with extensible prefix system.
838,ABI specification for REVERT reason string,A proposal to extend the ABI specification to include typed errors in the REVERT reason string.,infrastructure-meta,,medium,,Draft,Standards Track,ERC,2020-08-20,,,"Federico Bond (@federicobond), Renan Rodrigues de Souza (@RenanSouza2)",Federico Bond (@federicobond);Renan Rodrigues de Souza (@RenanSouza2),,,,0,0,0.00094087,0,True,False,False,543,8,https://ethereum-magicians.org/t/eip-838-what-is-the-current-status/14671,ABI specification for typed errors in REVERT reason strings.,Draft status. Extends ABI to include error declarations with parameters. Enables error parsing by clients.
875,Simpler NFT standard with batching and native atomic swaps,,nft,,high,,Withdrawn,Standards Track,ERC,2018-02-08,,,"Weiwu Zhang <a@colourful.land>, James Sangalli <j.l.sangalli@gmail.com>",Weiwu Zhang <a@colourful.land>;James Sangalli <j.l.sangalli@gmail.com>,,,165,0,0,0.00094087,0,False,False,False,715,16,https://github.com/ethereum/EIPs/issues/875,Simplified NFT standard with batch transfers and atomic p2p swaps.,Withdrawn status. Allows transferring multiple tokens in one transaction. Includes p2p atomic swap functionality.
884,DGCL Token,,rwa,tokens-fungible,high,,Stagnant,Standards Track,ERC,2018-02-14,,,Dave Sag <davesag@gmail.com>,Dave Sag <davesag@gmail.com>,,,20,0,0,0.00094087,0,False,True,False,2494,14,,ERC-20 compatible token for Delaware corporate shares with KYC/AML support.,Complies with Delaware General Corporations Law. Requires identity verification. Tracks shareholders and transfer history.
897,DelegateProxy,,infrastructure-meta,,high,,Stagnant,Standards Track,ERC,2018-02-21,,,"Jorge Izquierdo <jorge@aragon.one>, Manuel Araoz <manuel@zeppelin.solutions>",Jorge Izquierdo <jorge@aragon.one>;Manuel Araoz <manuel@zeppelin.solutions>,,,,0,0,0.00094087,0,False,False,False,391,8,https://github.com/ethereum/EIPs/pull/897,Standard interface for proxy contracts to signal implementation address.,Stagnant status. Distinguishes forwarding vs upgradeable proxies. Enables source code verification on explorers.
900,Simple Staking Interface,,defi,,high,,Stagnant,Standards Track,ERC,2018-02-22,,,"Dean Eigenmann <dean@tokenate.io>, Jorge Izquierdo <jorge@aragon.one>",Dean Eigenmann <dean@tokenate.io>;Jorge Izquierdo <jorge@aragon.one>,,,,0,0,0.00094087,0,False,False,False,452,15,https://github.com/ethereum/EIPs/issues/900,Simple staking interface for token staking systems.,Optional history functions for historical stake tracking. Common interface for staking protocols.
902,Token Validation,,security-permissions,tokens-fungible,high,,Stagnant,Standards Track,ERC,2018-02-14,,,"Brooklyn Zelenka (@expede), Tom Carchrae (@carchrae), Gleb Naumenko (@naumenkogs)",Brooklyn Zelenka (@expede);Tom Carchrae (@carchrae);Gleb Naumenko (@naumenkogs),1066,,1066,0,1,0.00094087,1,False,False,False,926,15,https://ethereum-magicians.org/t/update-on-erc902-validated-token/1639,Token validation protocol for authorization and compliance checks.,Uses ERC-1066 status codes. Enables KYC/AML and transfer restrictions without per-token whitelists.
918,Mineable Token Standard,,tokens-fungible,defi,high,,Stagnant,Standards Track,ERC,2018-03-07,,,"Jay Logelin <jlogelin@alumni.harvard.edu>, Infernal_toast <admin@0xbitcoin.org>, Michael Seiler <mgs33@cornell.edu>, Brandon Grill <bg2655@columbia.edu>",Jay Logelin <jlogelin@alumni.harvard.edu>;Infernal_toast <admin@0xbitcoin.org>;Michael Seiler <mgs33@cornell.edu>;Brandon Grill <bg2655@columbia.edu>,,,20;721;777,0,0,0.00094087,0,False,True,False,2709,32,,Mineable token standard using Proof of Work for distribution.,Includes delegated minting and merged mining extensions. Alternative to ICO distribution model.
926,Address metadata registry,,infrastructure-meta,,medium,,Stagnant,Standards Track,ERC,2018-03-12,,,Nick Johnson <nick@ethereum.org>,Nick Johnson <nick@ethereum.org>,165,927,165,1,1,0.00174062,1,False,False,False,500,8,,Address metadata registry for identity and authorization data,Uses ERC-165 for interface detection; enables flexible metadata provider architecture
927,Generalised authorisations,,security-permissions,,high,,Stagnant,Standards Track,ERC,2018-03-12,,,Nick Johnson <nick@ethereum.org>,Nick Johnson <nick@ethereum.org>,926,,926,0,1,0.00094087,2,False,False,False,468,6,,Generalized authorization/permission framework via metadata providers,Built on ERC-926; replaces protocol-specific approvals and operator patterns
998,Composable Non-Fungible Token,Extends a ERC-721 to own other ERC-721 and ERC-20 tokens.,nft,tokens-fungible,high,,Draft,Standards Track,ERC,2018-07-07,,,"Matt Lockyer <mattdlockyer@gmail.com>, Nick Mudge <nick@perfectabstractions.com>, Jordan Schalm <jordan.schalm@gmail.com>, sebastian echeverry <sebastian.echeverry@robotouniverse.com>, Zainan Victor Zhou (@xinbenlv)",Matt Lockyer <mattdlockyer@gmail.com>;Nick Mudge <nick@perfectabstractions.com>;Jordan Schalm <jordan.schalm@gmail.com>;sebastian echeverry <sebastian.echeverry@robotouniverse.com>;Zainan Victor Zhou (@xinbenlv),20;165;721,,20;165;721;223,0,3,0.00094087,2,True,False,True,7877,48,https://ethereum-magicians.org/t/erc-998-composable-non-fungible-tokens-cnfts/387,Composable non-fungible tokens that own other ERC-721 and ERC-20 tokens,Top-down and bottom-up composable patterns; enables hierarchical ownership structures
1046,tokenURI Interoperability,"Extends ERC-20 with an ERC-721-like tokenURI, and extends ERC-721 and ERC-1155 with interoperability",tokens-fungible,nft,high,,Final,Standards Track,ERC,2018-04-13,,,"Tommy Nicholas (@tomasienrbc), Matt Russo (@mateosu), John Zettler (@JohnZettler), Matt Condon (@shrugs), Gavin John (@Pandapip1)",Tommy Nicholas (@tomasienrbc);Matt Russo (@mateosu);John Zettler (@JohnZettler);Matt Condon (@shrugs);Gavin John (@Pandapip1),20;721;1155,5380;7538,20;721;1155,2,3,0.00147404,2,True,False,False,1213,18,https://ethereum-magicians.org/t/eip-1046-erc-20-metadata-extension/13036,Adds tokenURI metadata to ERC-20; extends ERC-721 and ERC-1155 interoperability,Interoperability metadata schema for differentiating token types via URI
1056,Ethereum Lightweight Identity,,reputation-identity,,high,,Stagnant,Standards Track,ERC,2018-05-03,,,"Pelle Braendgaard <pelle.braendgaard@consensys.net>, Joel Torstensson <oed@consensys.net>",Pelle Braendgaard <pelle.braendgaard@consensys.net>;Joel Torstensson <oed@consensys.net>,,,725,0,0,0.00094087,0,False,False,False,1244,31,https://github.com/ethereum/EIPs/issues/1056,Lightweight decentralized identity registry with delegates and attributes,DID-compliant; free identity creation via Ethereum accounts; supports key rotation
1062,Formalize IPFS hash into ENS(Ethereum Name Service) resolver,,infrastructure-meta,,medium,,Stagnant,Standards Track,ERC,2018-05-02,,,"Phyrex Tsai <phyrex@portal.network>, Portal Network Team",Phyrex Tsai <phyrex@portal.network>;Portal Network Team,,2390,,1,0,0.00114081,0,False,True,False,622,8,https://ethereum-magicians.org/t/eip-1062-formalize-ipfs-hash-into-ens-ethereum-name-service-resolver/281,IPFS hash to ENS resolver mapping for decentralized content addressing,Bridges IPFS content addressing with ENS human-readable names
1066,Status Codes,,infrastructure-meta,,high,,Stagnant,Standards Track,ERC,2018-05-05,,,"Brooklyn Zelenka (@expede), Tom Carchrae (@carchrae), Gleb Naumenko (@naumenkogs)",Brooklyn Zelenka (@expede);Tom Carchrae (@carchrae);Gleb Naumenko (@naumenkogs),,902;1462;2009;2020;2021,1444;658,5,0,0.00345054,0,False,False,False,4452,46,https://ethereum-magicians.org/t/erc-1066-ethereum-status-codes-esc/,Standardized status codes for smart contracts analogous to HTTP codes,Extends contract communication beyond binary success/failure; enables automatable state transitions
1077,Gas relay for contract calls,,account-abstraction,,high,,Stagnant,Standards Track,ERC,2018-05-04,,,"Alex Van de Sande <avsa@ethereum.org>, Ricardo Guilherme Schmidt (@3esmit)",Alex Van de Sande <avsa@ethereum.org>;Ricardo Guilherme Schmidt (@3esmit),20;191;1271;1344,1078;1613,20;191;1271;1344,2,3,0.00194055,1,True,True,False,2250,24,https://ethereum-magicians.org/t/erc1077-and-1078-the-magic-of-executable-signed-messages-to-login-and-do-actions/351,Gas relay for contract calls via signed messages and token payments,Enables gas abstraction via third-party relayers; supports arbitrary token for fee payment
1078,Universal login / signup using ENS subdomains,,account-abstraction,reputation-identity,high,,Stagnant,Standards Track,ERC,2018-05-04,,,Alex Van de Sande <avsa@ethereum.org>,Alex Van de Sande <avsa@ethereum.org>,191;681;725;1077,,191;681;725;1077,0,4,0.00094087,2,False,False,False,2191,10,https://ethereum-magicians.org/t/erc1077-and-1078-the-magic-of-executable-signed-messages-to-login-and-do-actions/351,Universal login/signup using ENS and identity contracts with signed messages,Account model for dapps; uses device-specific keys for signing; progressive key privilege levels
1080,Recoverable Token,,tokens-fungible,,high,,Stagnant,Standards Track,ERC,2018-05-02,,,Bradley Leatherwood <bradleat@inkibra.com>,Bradley Leatherwood <bradleat@inkibra.com>,,,20,0,0,0.00094087,0,False,False,False,660,25,https://ethereum-magicians.org/t/erc-1080-recoverabletoken-standard/364,"ERC-20 extension with token recovery, theft prevention, and chargeback support",Dispute resolution for lost/stolen tokens; lost account and stolen account procedures
1081,Standard Bounties,,infrastructure-meta,,medium,,Stagnant,Standards Track,ERC,2018-05-14,,,"Mark Beylin <mark.beylin@consensys.net>, Kevin Owocki <kevin.owocki@consensys.net>, Ricardo Guilherme Schmidt (@3esmit)",Mark Beylin <mark.beylin@consensys.net>;Kevin Owocki <kevin.owocki@consensys.net>;Ricardo Guilherme Schmidt (@3esmit),20,,20,0,1,0.00094087,1,False,True,False,1540,8,https://gitter.im/bounties-network/Lobby,Standard interface for issuing bounties in any ERC-20 token or ETH,"Standardizes issuance, fulfillment, and acceptance workflows; tracks reputation across platforms"
1123,Revised Ethereum Smart Contract Packaging Standard,,infrastructure-meta,,high,,Withdrawn,Standards Track,ERC,2018-06-01,,,"g. nicholas d’andrea (@gnidan), Piper Merriam (@pipermerriam), Nick Gheorghita (@njgheorghita), Danny Ryan (@djrtwo)",g. nicholas d’andrea (@gnidan);Piper Merriam (@pipermerriam);Nick Gheorghita (@njgheorghita);Danny Ryan (@djrtwo),,,190;2678,0,0,0.00094087,0,False,False,False,5089,49,https://github.com/ethereum/EIPs/issues/1123,EthPM v2 smart contract packaging standard (withdrawn in favor of ERC-2678),Superseded by ERC-2678; defines package manifest for contract distribution
1129,Standardised DAPP announcements,,infrastructure-meta,,medium,,Stagnant,Standards Track,ERC,2018-05-31,,,Jan Turk (@ThunderDeliverer),Jan Turk (@ThunderDeliverer),,,20,0,0,0.00094087,0,False,True,False,672,21,https://ethereum-magicians.org/t/eip-sda-standardised-dapp-announcements/508?u=thunderdeliverer,Standardized announcements framework for dApp service status updates,Permissions-based posting; event tracking for service transitions and freezes
1132,Extending ERC20 with token locking capability,,tokens-fungible,,high,,Stagnant,Standards Track,ERC,2018-06-03,,,nitika-goel <nitika@govblocks.io>,nitika-goel <nitika@govblocks.io>,,,20;900,0,0,0.00094087,0,False,True,False,998,18,https://github.com/ethereum/EIPs/issues/1132,ERC-20 extension enabling time-locking of tokens within the contract,Multiple reasons for locking; allows locked tokens to remain usable in ecosystem; avoids external escrow
1154,Oracle Interface,,infrastructure-meta,,high,,Withdrawn,Standards Track,ERC,2018-06-13,,,Alan Lu (@cag),Alan Lu (@cag),,,,0,0,0.00094087,0,False,False,False,1108,11,https://github.com/ethereum/EIPs/issues/1161,Standard interface for oracle data reporting (withdrawn),Push-based oracle consumer pattern; immutable results per ID; status: withdrawn
1155,Multi Token Standard,,nft,tokens-fungible,high,,Final,Standards Track,ERC,2018-06-17,,,"Witek Radomski <witek@enjin.io>, Andrew Cooke <ac0dem0nk3y@gmail.com>, Philippe Castonguay (@phabc) <pc@horizongames.net>, James Therien <james@turing-complete.com>, Eric Binet <eric@enjin.io>, Ronan Sandford (@wighawag) <wighawag@gmail.com>",Witek Radomski <witek@enjin.io>;Andrew Cooke <ac0dem0nk3y@gmail.com>;Philippe Castonguay (@phabc) <pc@horizongames.net>;James Therien <james@turing-complete.com>;Eric Binet <eric@enjin.io>;Ronan Sandford (@wighawag) <wighawag@gmail.com>,165,1046;2135;2477;3475;4393;4885;4950;4955;4987;5006;5050;5169;5185;5187;5216;5252;5298;5375;5409;5505;5507;5606;5615;5625;5633;5635;5679;5700;5851;6066;6093;6120;6268;6596;6604;6823;7015;7085;7280;7291;7303;7390;7496;7498;7513;7518;7538;7585;7589;7603;7604;7656;7681;7721;7795;7847;7878;8040;8047;8065,165;721;1155;1538,60,1,0.01982314,1,False,False,False,7723,33,https://github.com/ethereum/EIPs/issues/1155,"Multi-token standard supporting fungible, non-fungible, and semi-fungible tokens in a single contract.",Supports both batch transfers and hybrid fungible/non-fungible token implementations in one contract.
1167,Minimal Proxy Contract,,infrastructure-meta,,high,,Final,Standards Track,ERC,2018-06-22,,,"Peter Murray (@yarrumretep), Nate Welch (@flygoing), Joe Messerman (@JAMesserman)",Peter Murray (@yarrumretep);Nate Welch (@flygoing);Joe Messerman (@JAMesserman),211,5851;6551;6981;7511;7656;7897,211,6,0,0.00271697,0,False,True,False,943,11,https://github.com/optionality/clone-factory/issues/10,"Minimal proxy contract bytecode for cheap, immutable contract cloning.",Uses delegatecall for low-gas proxy deployment; bytecode-level specification enables direct bytecode interrogation.
